,sensor_id_temperature,sensor_type_temperature,location_temperature,lat_temperature,lon_temperature,timestamp_new,value_type_temperature,value_temperature,sensor_id_humidity,sensor_type_humidity,location_humidity,lat_humidity,lon_humidity,value_type_humidity,value_humidity,sensor_id_P1,sensor_type_P1,location_P1,lat_P1,lon_P1,value_type_P1,value_P1,sensor_id_P2,sensor_type_P2,location_P2,lat_P2,lon_P2,value_type_P2,value_P2
71,145,DHT22,3528,-0.286,36.067,2023-02-04 07:32:21+00:00,temperature,25,145,DHT22,3528,-0.286,36.067,humidity,60,144.0,SDS011,3528.0,-0.286,36.067,P1,10.0,144.0,SDS011,3528.0,-0.286,36.067,P2,4.0
72,145,DHT22,3528,-0.286,36.067,2023-02-04 07:35:03+00:00,temperature,25,145,DHT22,3528,-0.286,36.067,humidity,58,144.0,SDS011,3528.0,-0.286,36.067,P1,19.0,144.0,SDS011,3528.0,-0.286,36.067,P2,5.0
73,145,DHT22,3528,-0.286,36.067,2023-02-04 07:37:43+00:00,temperature,25,145,DHT22,3528,-0.286,36.067,humidity,59,144.0,SDS011,3528.0,-0.286,36.067,P1,35.0,144.0,SDS011,3528.0,-0.286,36.067,P2,5.0
74,145,DHT22,3528,-0.286,36.067,2023-02-04 07:40:23+00:00,temperature,25,145,DHT22,3528,-0.286,36.067,humidity,57,144.0,SDS011,3528.0,-0.286,36.067,P1,10.0,144.0,SDS011,3528.0,-0.286,36.067,P2,5.0
75,145,DHT22,3528,-0.286,36.067,2023-02-04 07:43:02+00:00,temperature,26,145,DHT22,3528,-0.286,36.067,humidity,56,144.0,SDS011,3528.0,-0.286,36.067,P1,30.0,144.0,SDS011,3528.0,-0.286,36.067,P2,5.0
76,145,DHT22,3528,-0.286,36.067,2023-02-04 07:45:43+00:00,temperature,26,145,DHT22,3528,-0.286,36.067,humidity,57,144.0,SDS011,3528.0,-0.286,36.067,P1,11.0,144.0,SDS011,3528.0,-0.286,36.067,P2,3.0
77,145,DHT22,3528,-0.286,36.067,2023-02-04 07:48:23+00:00,temperature,26,145,DHT22,3528,-0.286,36.067,humidity,57,144.0,SDS011,3528.0,-0.286,36.067,P1,39.0,144.0,SDS011,3528.0,-0.286,36.067,P2,4.0
78,145,DHT22,3528,-0.286,36.067,2023-02-04 07:51:03+00:00,temperature,26,145,DHT22,3528,-0.286,36.067,humidity,56,144.0,SDS011,3528.0,-0.286,36.067,P1,11.0,144.0,SDS011,3528.0,-0.286,36.067,P2,4.0
79,145,DHT22,3528,-0.286,36.067,2023-02-04 07:53:43+00:00,temperature,26,145,DHT22,3528,-0.286,36.067,humidity,51,144.0,SDS011,3528.0,-0.286,36.067,P1,6.0,144.0,SDS011,3528.0,-0.286,36.067,P2,4.0
80,145,DHT22,3528,-0.286,36.067,2023-02-04 07:56:23+00:00,temperature,26,145,DHT22,3528,-0.286,36.067,humidity,50,144.0,SDS011,3528.0,-0.286,36.067,P1,4.0,144.0,SDS011,3528.0,-0.286,36.067,P2,3.0
